timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
26804452,40.15403045369749,116.2593682627362,50.72181,-0.049626574,0.09881839,0.09548151,0.0048352764,1,1,0
71838311,40.15613634408258,116.25936688911952,65.71867,234.1147,-0.017921712,-14.901382,0.008785461,1,1,0
71871629,40.156141055036976,116.25936692372186,65.627106,234.63853,-0.014981025,-14.809813,0.0142240655,1,1,0
71926322,40.15614545421485,116.25936695538665,65.52081,235.1277,-0.012289986,-14.703519,0.021666985,1,1,0
71970377,40.15614975925595,116.2593669899075,65.39192,235.6064,-0.009356226,-14.574632,0.03169219,1,1,0
72014346,40.15615412083401,116.25936702764687,65.24229,236.09138,-0.00614894,-14.424998,0.048341278,1,1,0
72058323,40.15615864488715,116.2593670699481,65.065674,236.59444,-0.0025539633,-14.24838,0.07583216,1,1,0
72190402,40.15616966190616,116.25936719838187,64.52904,237.81947,0.008360997,-13.71175,2.3628402,1,1,0
72234323,40.156173921113925,116.25936725858747,64.2903,238.29308,0.013477578,-13.473009,2.77814,1,1,0
72278323,40.15617814628975,116.2593673234924,64.03821,238.7629,0.018993529,-13.220921,2.8278596,1,1,0
